timestamp,event_type,key,button,scroll_dx,scroll_dy,mouse_x,mouse_y,event_state
1748625283.8354259,mouse_move,,,,,1299,1064,moved
1748625283.8431635,mouse_move,,,,,1301,1064,moved
1748625283.850181,mouse_move,,,,,1302,1064,moved
1748625283.857144,mouse_move,,,,,1302,1064,moved
1748625283.8634102,mouse_move,,,,,1303,1064,moved
1748625283.8702488,mouse_move,,,,,1304,1064,moved
1748625283.8774803,mouse_move,,,,,1305,1064,moved
1748625283.8841271,mouse_move,,,,,1305,1064,moved
1748625283.892248,mouse_move,,,,,1306,1064,moved
1748625283.8989992,mouse_move,,,,,1306,1064,moved
1748625283.9067252,mouse_move,,,,,1307,1064,moved
1748625283.920649,mouse_move,,,,,1308,1064,moved
1748625283.9276872,mouse_move,,,,,1308,1064,moved
1748625283.9347792,mouse_move,,,,,1309,1064,moved
1748625283.9413316,mouse_move,,,,,1309,1064,moved
1748625283.9481492,mouse_move,,,,,1310,1064,moved
1748625283.9541974,mouse_move,,,,,1310,1064,moved
1748625283.9696748,mouse_move,,,,,1311,1064,moved
1748625283.9765399,mouse_move,,,,,1311,1064,moved
1748625283.9893956,mouse_move,,,,,1312,1064,moved
1748625283.9969923,mouse_move,,,,,1313,1064,moved
1748625284.003701,mouse_move,,,,,1313,1064,moved
1748625284.0101433,mouse_move,,,,,1314,1064,moved
1748625284.017324,mouse_move,,,,,1314,1064,moved
1748625284.025229,mouse_move,,,,,1315,1064,moved
1748625284.0392885,mouse_move,,,,,1315,1064,moved
1748625284.0458016,mouse_move,,,,,1316,1064,moved
1748625284.0537863,mouse_move,,,,,1317,1064,moved
1748625284.0607128,mouse_move,,,,,1317,1064,moved
1748625284.0677218,mouse_move,,,,,1318,1064,moved
1748625284.0732071,mouse_move,,,,,1318,1064,moved
1748625284.0801744,mouse_move,,,,,1319,1064,moved
1748625284.087852,mouse_move,,,,,1319,1064,moved
1748625284.0946236,mouse_move,,,,,1320,1065,moved
1748625284.1027608,mouse_move,,,,,1321,1065,moved
1748625284.109556,mouse_move,,,,,1322,1065,moved
1748625284.1153245,mouse_move,,,,,1322,1065,moved
1748625284.123025,mouse_move,,,,,1324,1065,moved
1748625284.1288671,mouse_move,,,,,1325,1065,moved
1748625284.1371856,mouse_move,,,,,1326,1065,moved
1748625284.1436512,mouse_move,,,,,1327,1065,moved
1748625284.1514502,mouse_move,,,,,1328,1065,moved
1748625284.1568594,mouse_move,,,,,1329,1065,moved
1748625284.164333,mouse_move,,,,,1330,1065,moved
1748625284.1716423,mouse_move,,,,,1331,1065,moved
1748625284.1781352,mouse_move,,,,,1332,1065,moved
1748625284.1845405,mouse_move,,,,,1332,1065,moved
1748625284.1918302,mouse_move,,,,,1333,1065,moved
1748625284.1991045,mouse_move,,,,,1333,1065,moved
1748625284.2056396,mouse_move,,,,,1334,1065,moved
1748625284.2130978,mouse_move,,,,,1334,1066,moved
1748625284.2200642,mouse_move,,,,,1334,1066,moved
1748625284.2353094,mouse_move,,,,,1335,1066,moved
1748625284.24955,mouse_move,,,,,1336,1066,moved
1748625284.2691593,mouse_move,,,,,1336,1066,moved
1748625284.3952591,mouse_move,,,,,1336,1066,moved
1748625284.4166307,mouse_move,,,,,1336,1066,moved
1748625284.4313486,mouse_move,,,,,1335,1066,moved
1748625284.444126,mouse_move,,,,,1335,1066,moved
1748625284.465934,mouse_move,,,,,1334,1066,moved
1748625284.473209,mouse_move,,,,,1334,1066,moved
1748625284.4796865,mouse_move,,,,,1333,1066,moved
1748625284.4868891,mouse_move,,,,,1333,1066,moved
1748625284.4935849,mouse_move,,,,,1332,1066,moved
1748625284.507611,mouse_move,,,,,1331,1066,moved
1748625284.5150156,mouse_move,,,,,1330,1066,moved
1748625284.521311,mouse_move,,,,,1330,1066,moved
1748625284.5289803,mouse_move,,,,,1329,1066,moved
1748625284.5360625,mouse_move,,,,,1328,1066,moved
1748625284.54251,mouse_move,,,,,1326,1067,moved
1748625284.5499551,mouse_move,,,,,1323,1067,moved
1748625284.5575316,mouse_move,,,,,1320,1067,moved
1748625284.5639231,mouse_move,,,,,1317,1068,moved
1748625284.5703003,mouse_move,,,,,1311,1068,moved
1748625284.5779643,mouse_move,,,,,1303,1068,moved
1748625284.584329,mouse_move,,,,,1294,1068,moved
1748625284.591936,mouse_move,,,,,1282,1068,moved
1748625284.5983713,mouse_move,,,,,1267,1067,moved
1748625284.6057014,mouse_move,,,,,1251,1067,moved
1748625284.6129832,mouse_move,,,,,1238,1067,moved
1748625284.6199825,mouse_move,,,,,1228,1066,moved
1748625284.62694,mouse_move,,,,,1220,1066,moved
1748625284.6337013,mouse_move,,,,,1214,1066,moved
1748625284.6409779,mouse_move,,,,,1211,1066,moved
1748625284.6478717,mouse_move,,,,,1209,1066,moved
1748625284.6540406,mouse_move,,,,,1208,1066,moved
1748625284.660485,mouse_move,,,,,1207,1066,moved
1748625284.6678648,mouse_move,,,,,1207,1066,moved
1748625284.6826093,mouse_move,,,,,1206,1066,moved
1748625284.6976864,mouse_move,,,,,1206,1066,moved
1748625284.731189,mouse_move,,,,,1206,1066,moved
1748625284.7658186,mouse_move,,,,,1206,1066,moved
1748625284.8716366,mouse_move,,,,,1206,1067,moved
1748625284.8996992,mouse_move,,,,,1206,1067,moved
1748625284.9198318,mouse_move,,,,,1206,1067,moved
1748625284.9346318,mouse_move,,,,,1206,1067,moved
1748625284.948293,mouse_move,,,,,1207,1067,moved
1748625284.955663,mouse_move,,,,,1208,1067,moved
1748625284.9609911,mouse_move,,,,,1210,1068,moved
1748625284.9690564,mouse_move,,,,,1214,1068,moved
1748625284.9766395,mouse_move,,,,,1219,1069,moved
1748625284.983146,mouse_move,,,,,1225,1069,moved
1748625284.990447,mouse_move,,,,,1232,1069,moved
1748625284.9970376,mouse_move,,,,,1239,1069,moved
1748625285.0047739,mouse_move,,,,,1246,1069,moved
1748625285.010338,mouse_move,,,,,1253,1068,moved
